objectid,park,park_no,bldg_id,bldg_name,category,bldg_type,field_house_class,status,year_built,stories,building_sqft,owner,address,ward,community,lat,lon,provenance,source
196,FERNWOOD,65,0065-02,Comfort Station,other,COMFORT STATION,,ACTIVE,,1,,CPD,,34,ROSELAND,41.704216,-87.640159,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
197,FIELD (EUGENE),41,0041-01,Field Park Fieldhouse,field_house,FIELDHOUSE A3,A3,ACTIVE,1928,2,25076,CPD,5100 N RIDGEWAY,39,ALBANY PARK,41.974021,-87.722429,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
198,FIELD (EUGENE),41,0041-02,Shelter,other,SHELTER,,ACTIVE,,1,,CPD,,39,ALBANY PARK,41.974809,-87.723885,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
199,FOSCO (PETER),1030,1030-01,Fosco Park Fieldhouse,field_house,FIELDHOUSE A1,A1,ACTIVE,2004,1,60500,CPD,1312 S RACINE AVE,25,NEAR WEST SIDE,41.86477,-87.657388,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
200,FOSTER (J. FRANK),26,0026-01,Foster Park Fieldhouse,field_house,FIELDHOUSE A1,A1,ACTIVE,1930,1,41454,CPD,1440 W 84TH ST,21,AUBURN GRESHAM,41.741753,-87.660123,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
201,FOSTER (J. FRANK),26,0026-02,Southeast Shelter,other,SHELTER,,ACTIVE,,1,,CPD,,21,AUBURN GRESHAM,41.741718,-87.66068,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
202,FOSTER (J. FRANK),26,0026-03,South Shelter,other,SHELTER,,ACTIVE,,1,,CPD,,21,AUBURN GRESHAM,41.741629,-87.660861,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
203,FOSTER (J. FRANK),26,0026-05,,other,UNIDENTIFIED,,ACTIVE,,,,,,21,AUBURN GRESHAM,41.742344,-87.660198,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
204,FOSTER (J. FRANK),26,0026-06,Northeast Shelter,other,SHELTER,,ACTIVE,,1,,CPD,,21,AUBURN GRESHAM,41.741951,-87.660637,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
205,CHICAGO WOMEN'S PARK AND GARDENS,550,0550-0,Chicago Women's Fieldhouse,field_house,FIELDHOUSE C,C,ACTIVE,,3,,CPD,1801 S INDIANA AVE,3,NEAR SOUTH SIDE,41.857705,-87.621971,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
