name,match_quality,bldg_lat,bldg_lon,offset_m,edge_m,bldg_id,bldg_address,bldg_name,bldg_stories,footprint_area_sqft,candidates_in_range,provenance,source
South Chicago,address_exact,41.7303,-87.549514,17.7,5.8,680843,9055 S HOUSTON AVE,SOUTH CHICAGO,1,8491.1,96,sourced,socrata_syp8-uezg@2026-09-13
South Shore,address_exact,41.762444,-87.563724,16.7,2.8,581455,2505 E 73RD ST,SOUTH SHORE,0,6443.4,85,sourced,socrata_syp8-uezg@2026-09-13
Sulzer Regional Library,address_exact,41.962785,-87.684381,33,0,122112,4455 N LINCOLN AVE,SULZER REGIONAL,3,21854.2,86,sourced,socrata_syp8-uezg@2026-09-13
Thurgood Marshall,address_exact,41.757366,-87.654373,25.8,8,596834,7506 S RACINE AVE,THURGOOD MARSHALL,1,13375.9,54,sourced,socrata_syp8-uezg@2026-09-13
Toman,address_exact,41.842141,-87.724864,19.5,0,877492,2708 S PULASKI RD,TOMAN,0,16432.6,220,sourced,socrata_syp8-uezg@2026-09-13
Uptown,address_exact,41.958195,-87.654274,14.4,0,138667,929 W BUENA AVE,UPTOWN,1,13127.8,35,sourced,socrata_syp8-uezg@2026-09-13
Vodak-East Side,largest_nearby,41.701987,-87.613283,126,115.8,743867,10557 S DR MARTIN LUTHER KING JR DR,,2,2003.5,243,sourced,socrata_syp8-uezg@2026-09-13
Walker,address_exact,41.692186,-87.673732,26.9,14,768713,11071-11073 S HOYNE AVE,WALKER,3,6772.4,62,sourced,socrata_syp8-uezg@2026-09-13
Water Works,address_exact,41.897172,-87.62372,44.8,0.8,335460,161-163 E PEARSON ST,CHICAGO AVENUE PUMPING STATION,2,35311.2,8,sourced,socrata_syp8-uezg@2026-09-13
West Belmont,address_exact,41.936729,-87.786207,17.4,0,224398,3100-3104 N NARRAGANSETT AVE,WEST BELMONT,1,10212,191,sourced,socrata_syp8-uezg@2026-09-13
West Chicago Avenue,address_exact,41.895276,-87.747996,20.7,8.8,826038,4856 W CHICAGO AVE,West Chicago Avenue Branch,0,7205.4,151,sourced,socrata_syp8-uezg@2026-09-13
West Englewood,address_exact,41.779072,-87.668437,23.3,9.1,815842,1745 W 63RD ST,WEST ENGLEWOOD,0,6214.5,108,sourced,socrata_syp8-uezg@2026-09-13
West Lawn,address_exact,41.778903,-87.723666,17.7,0.5,535039,4010-4020 W 63RD ST,WEST LAWN BRANCH LIBRARY,1,14079.2,160,sourced,socrata_syp8-uezg@2026-09-13
West Loop,containing,41.88365,-87.654754,17.1,0,879774,118 N ABERDEEN ST,,0,5791.2,29,sourced,socrata_syp8-uezg@2026-09-13
West Pullman,address_exact,41.678048,-87.643202,16,0.9,826374,830 W 119TH ST,WEST PULLMAN BRANCH,0,14021.4,22,sourced,socrata_syp8-uezg@2026-09-13
West Town,address_exact,41.89578,-87.668367,19.5,0.1,876209,1617-1625 W CHICAGO AVE,,0,22707.3,138,sourced,socrata_syp8-uezg@2026-09-13
"Whitney M. Young, Jr.",library_named,41.750892,-87.614543,36.7,18.1,613836,7901 S DR MARTIN LUTHER KING JR DR,WHITNEY M. YOUNG JR.,1,11103.5,129,sourced,socrata_syp8-uezg@2026-09-13
Woodson Regional Library,address_exact,41.721132,-87.642781,53.3,4.3,700662,9501-9525 S HALSTED ST,WOODSON REGIONAL,2,34785.2,137,sourced,socrata_syp8-uezg@2026-09-13
Wrightwood-Ashburn,address_exact,41.737645,-87.702494,41.7,17.4,663969,8530 S KEDZIE AVE,WRIGHTWOOD-ASBURN,1,13887,71,sourced,socrata_syp8-uezg@2026-09-13
