sid,school_year,grade_category,enrollment_profile,enrollment_20th_day,enrollment_utilization,homerooms,ideal_capacity,adj_ideal_capacity,su_pct,cps_status,classrooms_supply,classrooms_modular,classrooms_leased,classrooms_demand,source
610524,SY2026,HS,335,314,314,14.4,456,432,0.73,Efficient,19,0,0,18,cps_space_utilization_sy2026@2026-09-09
610529,SY2026,HS,511,519,516,28.8,936,864,0.6,Underutilized,39,0,0,36,cps_space_utilization_sy2026@2026-09-09
610530,SY2026,ES,251,236,157,20,840,560,0.28,Underutilized,39,0,0,26,cps_space_utilization_sy2026@2026-09-09
610532,SY2026,ES,648,694,694,36,1008,1008,0.69,Underutilized,48,0,0,47,cps_space_utilization_sy2026@2026-09-09
610533,SY2026,ES,701,720,657,30,784,840,0.78,Efficient,37,8,0,39,cps_space_utilization_sy2026@2026-09-09
610534,SY2026,ES,514,505,505,20,616,560,0.9,Efficient,29.5,0,0,26,cps_space_utilization_sy2026@2026-09-09
610539,SY2026,ES,702,684,592,30,1036,840,0.7,Efficient,48.5,0,0,40,cps_space_utilization_sy2026@2026-09-09
610541,SY2026,ES,555,561,528,25,756,700,0.75,Efficient,36,0,0,33,cps_space_utilization_sy2026@2026-09-09
610542,SY2026,ES,656,698,625,23,728,644,0.97,Efficient,35,0,0,31,cps_space_utilization_sy2026@2026-09-09
610543,SY2026,HS,1214,1233,1207,37.6,1200,1128,1.07,Efficient,50,0,0,47,cps_space_utilization_sy2026@2026-09-09
610544,SY2026,ES,643,677,677,27,756,756,0.9,Efficient,36,0,0,36,cps_space_utilization_sy2026@2026-09-09
610547,SY2026,HS,614,555,523,29.6,1056,888,0.59,Underutilized,44,0,0,37,cps_space_utilization_sy2026@2026-09-09
610548,SY2026,ES,421,404,404,18,560,504,0.8,Efficient,26,0,0,24,cps_space_utilization_sy2026@2026-09-09
610558,SY2026,HS,920,942,929,35.2,1104,1056,0.88,Efficient,46,0,0,44,cps_space_utilization_sy2026@2026-09-09
610559,SY2026,ES,274,312,311,26,728,728,0.43,Underutilized,34,0,0,34,cps_space_utilization_sy2026@2026-09-09
610561,SY2026,HS,262,305,305,49.6,1836,1488,0.2,Underutilized,76.5,0,0,62,cps_space_utilization_sy2026@2026-09-09
610563,SY2026,HS,1028,1039,1039,35.2,1056,1056,0.98,Efficient,44,0,0,44,cps_space_utilization_sy2026@2026-09-09
610564,SY2026,HS,765,773,773,31.2,1104,936,0.83,Efficient,46,0,0,39,cps_space_utilization_sy2026@2026-09-09
610586,SY2026,ES,689,685,560,32,1120,896,0.63,Underutilized,53,0,0,42,cps_space_utilization_sy2026@2026-09-09
610587,SY2026,HS,513,484,473,30.4,1080,912,0.52,Underutilized,45,0,0,38,cps_space_utilization_sy2026@2026-09-09
610588,SY2026,ES,713,785,785,48,1400,1344,0.58,Underutilized,66,0,0,63,cps_space_utilization_sy2026@2026-09-09
610589,SY2026,ES,533,538,491,24,924,672,0.73,Efficient,44,0,0,32,cps_space_utilization_sy2026@2026-09-09
610590,SY2026,ES,436,441,441,19,588,532,0.83,Efficient,27.5,0,0,25,cps_space_utilization_sy2026@2026-09-09
610592,SY2026,HS,486,514,503,40,1248,1200,0.42,Underutilized,52,0,0,50,cps_space_utilization_sy2026@2026-09-09
